Name,Platform,Genre,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,XGRP
ESPN NFL Primetime 2002,PS2,Sports,2001.0,Konami Digital Entertainment,4,3,0,1,A
NFL GameDay 2002,PS2,Sports,2001.0,Sony Computer Entertainment,19,15,0,5,A
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,Sports,1998.0,Sega,0,0,12,0,A
Namco Soccer Prime Goal,PS,Sports,1995.0,Sony Computer Entertainment,0,0,12,1,A
Mario & Sonic at the Olympic Winter Games,DS,Sports,2009.0,Sega,122,166,27,38,A
NBA 2K13,WiiU,Sports,2012.0,Take-Two Interactive,8,4,0,1,A
NBA ShootOut 2001,PS2,Sports,2001.0,Sony Computer Entertainment,7,6,0,2,A
Virtua Tennis 4,X360,Sports,2011.0,Sega,11,10,1,2,A
J-League Winning Eleven 9: Asia Championship,PS2,Sports,2005.0,Konami Digital Entertainment,0,0,11,0,A
High Heat Major League Baseball 2003,PS2,Sports,2002.0,3DO,18,14,0,5,A
NCAA Final Four 2001,PS,Sports,2000.0,Sony Computer Entertainment,9,6,0,1,A
SSX,PS2,Sports,2000.0,Electronic Arts,78,61,6,20,A
Dave Mirra Freestyle BMX 3,GBA,Sports,2002.0,Acclaim Entertainment,2,1,0,0,A
Madden NFL 2004,GBA,Sports,2003.0,Electronic Arts,22,8,0,1,A
Pool Party,Wii,Sports,2007.0,SouthPeak Games,4,0,0,0,A
NBA 2K14,PS3,Sports,2013.0,Take-Two Interactive,143,33,4,25,A
NFL GameDay 2002,PS2,Sports,1981.0,Sony Computer Entertainment,82519,1215,0,5,A
Twisted Edge Extreme Snowboarding,N64,Sports,1998.0,Kemco,16,4,0,0,A
FIFA Soccer 10,PS3,Sports,2009.0,Electronic Arts,60,246,5,52,A
Tony Hawk's Pro Skater 3,PS2,Sports,2001.0,Activision,266,129,1,46,A
Jikkyou Powerful Pro Yakyuu 12,PS2,Sports,2005.0,Konami Digital Entertainment,0,0,45,0,A
NFL GameDay 2000,PS,Sports,1999.0,989 Studios,100,68,0,12,A
Madden Football 64,N64,Sports,1997.0,Electronic Arts,81,4,0,1,A
Mike Tyson Heavyweight Boxing,XB,Sports,2002.0,Codemasters,3,1,0,0,A
Twisted Edge Extreme Snowboarding,N64,Sports,1996.0,Kemco,516,4,8700,0,A
MLB 08: The Show,PS2,Sports,2008.0,Sony Computer Entertainment,35,1,0,6,A
Derby Stallion,PS,Sports,1997.0,ASCII Entertainment,0,0,196,14,A
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,Sports,2013.0,Sega,0,0,7,0,A
Tiger Woods PGA Tour 2004,GC,Sports,2003.0,Electronic Arts,12,3,0,0,A
NHL Hitz Pro,PS2,Sports,2003.0,Midway Games,9,7,0,2,A
Ener-G: Dance Squad,DS,Sports,2008.0,Ubisoft,15,0,0,1,A
Derby Stallion P,PSP,Sports,2006.0,Enterbrain,0,0,10,0,A
NCAA Basketball 10,X360,Sports,2009.0,Electronic Arts,30,0,0,2,A
Arena Football,PS2,Sports,2006.0,Electronic Arts,28,22,0,7,A
FIFA 17,X360,Sports,2016.0,Electronic Arts,3,13,0,1,A
NHL Hitz 20-02,GC,Sports,2001.0,Midway Games,16,4,0,1,A
MVP Baseball 2005,XB,Sports,2005.0,Electronic Arts,70,20,0,3,A
NCAA Football 10,PS3,Sports,2009.0,Electronic Arts,75,0,0,6,A
Skate,X360,Sports,2007.0,Electronic Arts,62,4,0,6,A
Major League Baseball 2K12,DS,Sports,2012.0,Take-Two Interactive,8,0,0,1,A
Madden NFL 09 All-Play,Wii,Sports,2008.0,Electronic Arts,78,1,0,7,A
Bass Pro Shops: The Hunt,Wii,Sports,2010.0,XS Games,23,0,0,2,A
Derby Stallion,PS,Sports,1993.0,ASCII Entertainment,8500,0,9596,14,A
Derby Stallion II,SNES,Sports,1994.0,ASCII Entertainment,0,0,87,0,A
Major League Baseball 2K6,PSP,Sports,null,Unknown,11,0,0,1,A
The Golf Club,XOne,Sports,2014.0,Unknown,2,0,0,0,A
Famista Returns,3DS,Sports,2015.0,Namco Bandai Games,0,0,14,0,A
SSX 3,PS2,Sports,2003.0,Electronic Arts,93,52,0,22,A
NCAA GameBreaker 2000,PS,Sports,1999.0,989 Studios,22,15,0,3,A
Madden NFL 2001,N64,Sports,2000.0,Electronic Arts,60,3,0,1,A
Tony Hawk's Motion,DS,Sports,2008.0,Activision,19,0,0,2,A
NBA 2K9,PS3,Sports,2008.0,Take-Two Interactive,56,0,0,5,A
SSX 3,PS2,Sports,2001.0,Electronic Arts,2193,52,0,11022,A
Dancing on Ice,DS,Sports,2010.0,Ghostlight,0,2,0,0,A
Derby Stallion Gold,3DS,Sports,2014.0,Kadokawa Shoten,0,0,14,0,A
Kobe Bryant in NBA Courtside,N64,Sports,1998.0,Nintendo,102,13,4,1,A
Skate 2,PS3,Sports,2009.0,Electronic Arts,46,26,1,12,A
J-League Pro Soccer Club o Tsukurou! 5,PS2,Sports,2001.0,Sega,0,0,7819,0,A
Little League World Series Baseball 2008,DS,Sports,2008.0,Activision,6,0,0,0,A
Backbreaker,X360,Sports,null,Unknown,17,0,0,1,A
Sega Superstars Tennis,PS3,Sports,2008.0,Sega,13,20,0,8,A
Tiger Woods PGA Tour 2005,XB,Sports,2004.0,Electronic Arts,64,18,0,3,A
World Stadium 3,PS,Sports,1999.0,Namco Bandai Games,0,0,31,2,A
River City Soccer Hooligans,DS,Sports,2010.0,Arc System Works,4,0,1,0,A
NBA Street,GC,Sports,2002.0,Electronic Arts,33,9,0,1,A
High Heat Baseball 2002,PS,Sports,2001.0,3DO,2,2,0,0,A
Tony Hawk's Downhill Jam,Wii,Sports,null,Activision,21,0,0,2,A
MLB Power Pros 2008,PS2,Sports,2008.0,Konami Digital Entertainment,5,4,5,1,A
Bass Landing,PS,Sports,1999.0,ASCII Entertainment,21,14,23,4,A
Madden NFL 11,Wii,Sports,null,Unknown,70,0,0,5,A
NBA Live 2005,XB,Sports,2004.0,Electronic Arts,81,5,0,4,A
IFA Soccer 96,PS,Sports,1991.0,Electronic Arts,8509,6,0,1,A
FIFA Soccer 96,PS,Sports,1995.0,Electronic Arts,9,6,0,1,A
Jillian Michaels' Fitness Ultimatum 2009,Wii,Sports,2008.0,Deep Silver,96,20,0,11,A
NHL Slapshot,Wii,Sports,null,Unknown,40,0,0,2,A
SSX 3,XB,Sports,2003.0,Electronic Arts,28,8,0,1,A
NCAA Football 2000,PS,Sports,1999.0,Electronic Arts,53,36,0,6,A
Rockstar Games presents Table Tennis,Wii,Sports,2007.0,Take-Two Interactive,39,73,0,15,A
WSC Real 11: World Snooker Championship,PS3,Sports,2011.0,Koch Media,0,7,0,2,A
Knockout Kings 2002,PS2,Sports,2002.0,Electronic Arts,45,35,0,12,A
Tony Hawk's Project 8,PS2,Sports,2006.0,Activision,72,3,0,12,A
Summer Sports 2: Island Sports Party,Wii,Sports,2008.0,Ubisoft,24,0,0,2,A
Wayne Gretzky's 3D Hockey '98,N64,Sports,1997.0,Midway Games,23,2,0,0,A
Ready 2 Rumble Boxing,N64,Sports,1999.0,Midway Games,47,11,0,1,A
SSX On Tour,XB,Sports,2005.0,Electronic Arts,11,3,0,1,A
Rapala for Kinect,X360,Sports,2011.0,Activision,0,2,0,0,A
PES 2009: Pro Evolution Soccer,X360,Sports,2008.0,Konami Digital Entertainment,13,76,3,9,A
Harry Potter: Quidditch World Cup,GBA,Sports,2003.0,Electronic Arts,28,10,0,1,A
NHL 09,PS3,Sports,2008.0,Electronic Arts,28,2,0,3,A
Winter Sports 2011,Wii,Sports,2011.0,DTP Entertainment,0,6,0,1,A
Winter Sports 2011,X360,Sports,2011.0,DTP Entertainment,0,2,0,0,A
FIFA Soccer 2003 (weekly jp sales),PS2,Sports,2002.0,Electronic Arts,0,0,4,0,A
Actua Tennis,PS,Sports,1997.0,Gremlin Interactive Ltd,7,5,0,1,A
Knockout Kings 2002,XB,Sports,2002.0,Electronic Arts,20,6,0,1,A
Imagine Figure Skater (JP sales),DS,Sports,2007.0,Ubisoft,0,0,1,0,A
J-League Pro Soccer Club wo Tsukurou!,SAT,Sports,1996.0,Sega,0,0,26,0,A
Backyard NFL Football '08,PS2,Sports,2007.0,Atari,3,2,0,1,A
Madden NFL 17,PS4,Sports,2016.0,Electronic Arts,92,8,0,23,A
SSX On Tour,XB,Sports,2001.0,Electronic Arts,11,8503,0,1,A
World Soccer Winning Eleven 5 Final Evolution,PS2,Sports,2001.0,Konami Digital Entertainment,0,0,45,0,A
NHL 2K9,Wii,Sports,2008.0,Take-Two Interactive,6,0,0,1,A
Street Hoops,GC,Sports,null,Unknown,9,2,0,0,A
