name,year_start,year_end,position,height,weight
Alaa Abdelnaby,1991.0,1995.0,F-C,06-10,240.0
Zaid Abdul-Aziz,1969.0,1978.0,C-F,06-09,235.0
Kareem Abdul-Jabbar,1970.0,1989.0,C,07-02,225.0
Mahmoud Abdul-Rauf,1991.0,2001.0,G,06-01,162.0
Tariq Abdul-Wahad,1998.0,2003.0,F,06-06,223.0
Shareef Abdur-Rahim,1997.0,2008.0,F,06-09,225.0
Tom Abernethy,1977.0,1981.0,F,06-07,220.0
Forest Able,1957.0,1957.0,G,06-03,180.0
John Abramovic,1947.0,1948.0,F,06-03,195.0
Alex Abrines,2017.0,2018.0,G-F,06-06,190.0
Alex Acker,2006.0,2009.0,G,06-05,185.0
Don Ackerman,1954.0,1954.0,G,6-0,183.0
Mark Acres,1988.0,1993.0,F-C,06-11,220.0
Bud Acton,1968.0,1968.0,F,06-06,210.0
Quincy Acy,2013.0,2018.0,F,06-07,240.0
Alvan Adams,1976.0,1988.0,C-F,06-09,210.0
Don Adams,1971.0,1977.0,F,06-06,210.0
George Adams,1973.0,1975.0,F-G,06-05,210.0
Hassan Adams,2007.0,2009.0,G,06-04,220.0
Jordan Adams,2015.0,2016.0,G,06-05,209.0
Michael Adams,1986.0,1996.0,G,05-10,162.0
Steven Adams,2014.0,2018.0,C,7-0,255.0
Rafael Addison,1987.0,1997.0,F-G,06-07,215.0
Bam Adebayo,2018.0,2018.0,C-F,06-10,243.0
Rick Adelman,1969.0,1975.0,G,06-01,175.0
Jeff Adrien,2011.0,2015.0,F,06-07,245.0
Arron Afflalo,2008.0,2018.0,G,06-05,210.0
Maurice Ager,2007.0,2011.0,G,06-05,202.0
Mark Aguirre,1982.0,1994.0,F-G,06-06,232.0
Blake Ahearn,2008.0,2012.0,G,06-02,190.0
Danny Ainge,1982.0,1995.0,G,06-04,175.0
Matthew Aitch,1968.0,1968.0,F,06-07,230.0
Alexis Ajinca,2009.0,2017.0,C,07-02,248.0
Henry Akin,1967.0,1969.0,C-F,06-10,225.0
Josh Akognon,2013.0,2013.0,G,05-11,185.0
Solomon Alabi,2011.0,2012.0,C,07-01,251.0
Mark Alarie,1987.0,1991.0,F,06-08,217.0
Gary Alcorn,1960.0,1961.0,C,06-09,225.0
Furkan Aldemir,2015.0,2015.0,F-C,06-10,240.0
Cole Aldrich,2011.0,2018.0,C,06-11,250.0
LaMarcus Aldridge,2007.0,2018.0,F-C,06-11,260.0
Chuck Aleksinas,1985.0,1985.0,C,06-11,260.0
Cliff Alexander,2016.0,2016.0,F,06-08,245.0
Cory Alexander,1996.0,2005.0,G,06-01,185.0
Courtney Alexander,2001.0,2003.0,G,06-05,205.0
Gary Alexander,1994.0,1994.0,F,06-07,240.0
Joe Alexander,2009.0,2010.0,F,06-08,230.0
Victor Alexander,1992.0,2002.0,C-F,06-09,265.0
Steve Alford,1988.0,1991.0,G,06-02,183.0
Bill Allen,1968.0,1968.0,C-F,06-08,205.0
Bob Allen,1969.0,1969.0,F,06-09,205.0
Jarrett Allen,2018.0,2018.0,F-C,06-10,234.0
Jerome Allen,1996.0,1997.0,G,06-04,184.0
Kadeem Allen,2018.0,2018.0,G,06-03,192.0
Lavoy Allen,2012.0,2017.0,F-C,06-09,260.0
Lucius Allen,1970.0,1979.0,G,06-02,175.0
Malik Allen,2002.0,2011.0,F-C,06-10,255.0
Randy Allen,1989.0,1990.0,F,06-08,220.0
Ray Allen,1997.0,2014.0,G,06-05,205.0
Tony Allen,2005.0,2018.0,G-F,06-04,213.0
Willie Allen,1972.0,1972.0,F,06-06,230.0
Odis Allison,1972.0,1972.0,F,06-06,195.0
Lance Allred,2008.0,2008.0,C,06-11,250.0
Darrell Allums,1981.0,1981.0,F,06-09,220.0
Morris Almond,2008.0,2012.0,G,06-06,225.0
Derrick Alston,1995.0,1997.0,F,06-11,225.0
Rafer Alston,2000.0,2010.0,G,06-02,171.0
Peter Aluma,1999.0,1999.0,C,06-10,260.0
John Amaechi,1996.0,2003.0,C-F,06-10,270.0
Ashraf Amaya,1996.0,1997.0,F,06-08,230.0
Al-Farouq Aminu,2011.0,2018.0,F,06-09,220.0
Lou Amundson,2007.0,2016.0,F,06-09,220.0
Bob Anderegg,1960.0,1960.0,F-G,06-03,200.0
Chris Andersen,2002.0,2017.0,F-C,06-10,245.0
David Andersen,2010.0,2011.0,C,06-11,245.0
Alan Anderson,2006.0,2017.0,G-F,06-06,220.0
Andrew Anderson,1968.0,1970.0,G,06-02,184.0
Antonio Anderson,2010.0,2010.0,G,06-06,215.0
Cliff Anderson,1968.0,1971.0,G-F,06-02,200.0
Dan Anderson,1968.0,1969.0,C,06-10,230.0
Derek Anderson,1998.0,2008.0,G,06-05,194.0
Dwight Anderson,1983.0,1983.0,G,06-03,185.0
Eric Anderson,1993.0,1994.0,F,06-09,220.0
Greg Anderson,1988.0,1998.0,F-C,06-10,230.0
J.J. Anderson,1983.0,1985.0,F,06-08,195.0
James Anderson,2011.0,2016.0,G-F,06-06,213.0
Jerome Anderson,1976.0,1977.0,G,06-05,195.0
Justin Anderson,2016.0,2018.0,G,06-06,228.0
Kenny Anderson,1992.0,2005.0,G,6-0,168.0
Kim Anderson,1979.0,1979.0,F,06-07,200.0
Kyle Anderson,2015.0,2018.0,F-G,06-09,230.0
Michael Anderson,1989.0,1989.0,G,05-11,184.0
Nick Anderson,1990.0,2002.0,F-G,06-06,205.0
Richard Anderson,1983.0,1990.0,F-C,06-10,240.0
Ron Anderson,1985.0,1994.0,F-G,06-07,215.0
Ryan Anderson,2009.0,2018.0,F,06-10,240.0
Shandon Anderson,1997.0,2006.0,F-G,06-06,208.0
Willie Anderson,1989.0,1997.0,G-F,06-07,190.0
Wally Anderzunas,1970.0,1970.0,C-F,06-07,220.0
Martynas Andriuskevicius,2006.0,2006.0,C,07-02,240.0
Don Anielak,1955.0,1955.0,F,06-07,190.0
Ike Anigbogu,2018.0,2018.0,F-C,06-10,252.0
Michael Ansley,1990.0,1992.0,F,06-07,225.0
Chris Anstey,1998.0,2000.0,C,7-0,249.0
Giannis Antetokounmpo,2014.0,2018.0,F-G,06-11,222.0
Thanasis Antetokounmpo,2016.0,2016.0,F,06-07,205.0
Carmelo Anthony,2004.0,2018.0,F,06-08,240.0
Greg Anthony,1992.0,2002.0,G,6-0,176.0
Joel Anthony,2008.0,2017.0,C,06-09,245.0
Pero Antic,2014.0,2015.0,C-F,06-11,260.0
OG Anunoby,2018.0,2018.0,F,06-08,232.0
Keith Appling,2016.0,2016.0,G,06-01,185.0
Rafael Araujo,2005.0,2007.0,C,06-11,280.0
Stacey Arceneaux,1962.0,1962.0,F,06-04,210.0
Robert Archibald,2003.0,2004.0,F,06-11,250.0
Tiny Archibald,1971.0,1984.0,G,06-01,150.0
Ryan Arcidiacono,2018.0,2018.0,G,06-03,188.0
Jim Ard,1971.0,1978.0,F-C,06-08,215.0
Gilbert Arenas,2002.0,2012.0,G,06-03,191.0
Trevor Ariza,2005.0,2018.0,F,06-08,215.0
Paul Arizin,1951.0,1962.0,F-G,06-04,190.0
Joe Arlauckas,1988.0,1988.0,F,06-09,230.0
B.J. Armstrong,1990.0,2000.0,G,06-02,175.0
Bob Armstrong,1957.0,1957.0,C-F,06-08,220.0
Brandon Armstrong,2002.0,2004.0,G,06-05,188.0
Curly Armstrong,1949.0,1951.0,G-F,05-11,170.0
Darrell Armstrong,1995.0,2008.0,G,6-0,170.0
Hilton Armstrong,2007.0,2014.0,F-C,06-11,235.0
Tate Armstrong,1978.0,1979.0,G,06-03,175.0
Jesse Arnelle,1956.0,1956.0,F,06-05,220.0
Jay Arnette,1964.0,1966.0,G,06-02,175.0
Bob Arnzen,1970.0,1974.0,F,06-05,205.0
Carlos Arroyo,2002.0,2011.0,G,06-02,202.0
Darrell Arthur,2009.0,2018.0,F,06-09,235.0
John Arthurs,1970.0,1970.0,G,06-04,185.0
Jamel Artis,2018.0,2018.0,G-F,06-07,213.0
Omer Asik,2011.0,2018.0,C,7-0,255.0
Vincent Askew,1988.0,1998.0,G-F,06-06,210.0
Keith Askins,1991.0,1999.0,G-F,06-07,197.0
Don Asmonga,1954.0,1954.0,G,06-02,185.0
Dick Atha,1956.0,1958.0,G,06-02,190.0
Chucky Atkins,2000.0,2010.0,G,05-11,160.0
Al Attles,1961.0,1971.0,G,6-0,175.0
Chet Aubuchon,1947.0,1947.0,G,05-10,137.0
Stacey Augmon,1992.0,2006.0,F-G,06-08,205.0
D.J. Augustin,2009.0,2018.0,G,6-0,183.0
James Augustine,2007.0,2008.0,F,06-10,235.0
Isaac Austin,1992.0,2002.0,C,06-10,255.0
Johnny Austin,1967.0,1968.0,G,6-0,170.0
Ken Austin,1984.0,1984.0,F,06-09,205.0
Anthony Avent,1993.0,2000.0,F,06-09,235.0
Bird Averitt,1974.0,1978.0,G,06-01,170.0
William Avery,2000.0,2002.0,G,06-02,197.0
Dennis Awtrey,1971.0,1982.0,C,06-10,235.0
Gustavo Ayon,2012.0,2014.0,C,06-10,250.0
Jeff Ayres,2010.0,2016.0,F,06-09,240.0
Kelenna Azubuike,2007.0,2012.0,G,06-05,220.0
Chris Babb,2014.0,2014.0,G,06-05,225.0
Luke Babbitt,2011.0,2018.0,F,06-09,225.0
Milos Babic,1991.0,1992.0,C-F,7-0,240.0
Johnny Bach,1949.0,1949.0,F-G,06-02,180.0
Dwayne Bacon,2018.0,2018.0,G,06-06,222.0
Henry Bacon,1973.0,1973.0,G,06-03,205.0
Jim Baechtold,1953.0,1957.0,F-G,06-04,205.0
Dalibor Bagaric,2001.0,2003.0,C,07-01,255.0
