"AGE","SEX","SCHL","WORK","INCOME","XGRP"
43,"남","전문학사","기업",22900,5
23,"여","전문학사","기업",12000,7
42,"여","고졸","기업",16200,7
42,"남","중졸이하","기업",14000,10
33,"여","전문학사","기업",30000,9
36,"남","학사","기업",80000,7
29,"남","고졸","기업",13200,9
41,"남","고졸","기업",13200,2
35,"남","고졸","기업",14200,3
41,"여","중졸이하","기업",16000,4
33,"여","고졸","비영리단체",17500,5
36,"여","석사","공무원",42000,7
37,"여","고졸","자영업",25000,9
27,"남","고졸","기업",16000,3
49,"여","중졸이하","기업",23000,9
42,"여","고졸","공무원",60000,1
34,"여","전문학사","기업",20000,7
30,"여","석사","기업",70000,9
50,"여","고졸","공무원",30700,5
27,"남","고졸","기업",50000,3
29,"여","전문학사","기업",30000,1
25,"남","중졸이하","기업",33000,3
37,"남","전문학사","기업",20000,10
49,"여","전문학사","비영리단체",53000,10
25,"남","학사","기업",30000,6
33,"남","전문학사","자영업",36000,3
49,"여","고졸","기업",17000,5
23,"여","전문학사","기업",24000,9
29,"남","고졸","공무원",49000,5
31,"여","학사","비영리단체",28000,2
27,"여","학사","비영리단체",28000,3
23,"남","중졸이하","기업",12000,4
46,"남","중졸이하","기업",57500,3
29,"남","박사","기업",92300,5
49,"남","중졸이하","공무원",32000,4
48,"남","전문학사","공무원",68330,2
40,"여","석사","공무원",80000,1
34,"남","전문학사","기업",45000,3
30,"여","전문학사","기업",47000,10
29,"여","학사","공무원",42000,5
20,"남","고졸","기업",20000,5
47,"남","석사","비영리단체",71500,8
45,"여","학사","공무원",63000,7
49,"남","전문학사","기업",25000,1
27,"여","고졸","기업",11100,7
28,"남","중졸이하","기업",7200,4
33,"여","학사","기업",33100,9
49,"남","고졸","기업",40000,8
45,"남","학사","기업",50030,2
45,"여","전문학사","공무원",25600,3
32,"남","고졸","공무원",65000,2
38,"남","학사","자영업",28000,6
38,"여","학사","비영리단체",42000,6
37,"남","전문학사","기업",55000,7
48,"남","전문학사","자영업",65000,4
47,"여","고졸","비영리단체",42000,7
28,"남","고졸","비영리단체",25000,10
20,"여","고졸","기업",30000,8
41,"여","전문학사","기업",18000,1
20,"남","중졸이하","기업",30000,5
45,"남","중졸이하","기업",45000,1
23,"여","전문학사","기업",30000,4
39,"여","전문학사","기업",52000,8
41,"남","석사","기업",120900,1
37,"여","석사","공무원",58000,8
38,"여","전문학사","공무원",50000,5
30,"남","고졸","기업",26000,8
35,"남","전문학사","기업",16800,7
49,"남","전문학사","기업",21000,6
26,"남","전문학사","공무원",58000,8
24,"여","전문학사","비영리단체",36000,7
26,"여","전문학사","공무원",45000,3
34,"여","학사","공무원",65000,1
33,"여","학사","기업",80000,10
46,"여","석사","공무원",1e+05,8
42,"여","학사","공무원",53000,7
43,"남","학사","공무원",95,2
25,"남","학사","기업",30000,6
20,"남","고졸","기업",19200,3
29,"남","석사","기업",113200,9
25,"여","학사","공무원",43000,1
45,"남","전문학사","기업",43000,3
50,"남","전문학사","기업",85000,2
42,"남","전문학사","기업",48000,4
49,"남","고졸","기업",61000,8
30,"남","전문학사","공무원",36800,10
32,"남","전문학사","공무원",130000,8
25,"여","전문학사","기업",25000,6
29,"남","학사","기업",58200,5
36,"여","석사","비영리단체",55000,10
32,"여","전문학사","기업",26200,2
35,"남","고졸","기업",39200,1
32,"여","전문학사","공무원",37000,9
40,"여","학사","기업",130000,5
41,"남","중졸이하","기업",12000,1
39,"여","중졸이하","기업",16000,7
46,"여","고졸","자영업",6000,5
45,"여","전문학사","비영리단체",95000,7
38,"남","석사","자영업",175000,3
43,"여","석사","기업",19000,2
44,"남","전문학사","기업",28000,2
28,"여","고졸","기업",24700,6
35,"남","중졸이하","기업",2200,6
47,"남","고졸","공무원",60000,2
40,"여","전문학사","자영업",40000,2
36,"남","전문학사","기업",50000,8
45,"남","석사","기업",75000,6
38,"남","고졸","기업",76000,9
37,"여","학사","공무원",59000,7
43,"여","전문학사","기업",50000,1
30,"남","석사","기업",90400,7
49,"남","석사","자영업",45000,9
30,"남","전문학사","공무원",80000,7
24,"여","학사","기업",70000,2
40,"여","학사","비영리단체",53000,10
28,"여","학사","기업",98000,7
42,"남","석사","기업",121000,2
34,"남","고졸","공무원",20400,8
44,"여","석사","공무원",84000,10
34,"남","전문학사","공무원",68000,5
36,"남","중졸이하","기업",120000,3
25,"여","전문학사","기업",45000,3
27,"남","전문학사","공무원",12000,3
29,"여","고졸","기업",18900,6
33,"남","고졸","기업",17300,8
38,"남","전문학사","기업",38000,7
45,"남","고졸","공무원",47000,6
26,"여","고졸","기업",17000,9
43,"여","학사","공무원",99,8
44,"남","전문학사","기업",14000,1
40,"여","석사","기업",115000,4
48,"남","고졸","자영업",155000,1
27,"여","학사","비영리단체",65000,8
47,"남","학사","공무원",35000,10
49,"남","학사","기업",75000,6
49,"여","학사","공무원",64000,9
34,"남","고졸","기업",30000,6
49,"남","학사","기업",8125000,7
46,"남","석사","자영업",12,6
39,"남","고졸","기업",120000,8
49,"남","중졸이하","기업",18400,10
46,"여","중졸이하","기업",15600,9
49,"여","고졸","기업",30000,1
48,"남","중졸이하","기업",30000,1
31,"여","전문학사","비영리단체",27010,1
22,"남","학사","기업",17000,9
38,"남","중졸이하","기업",51000,6
22,"남","고졸","기업",8000,4
20,"남","고졸","기업",8000,10
32,"남","중졸이하","기업",33500,6
31,"여","고졸","기업",14400,6
44,"여","석사","비영리단체",34970,4
47,"여","학사","기업",28000,4
34,"남","석사","기업",135000,9
27,"남","학사","기업",1e+05,1
