Seq,ClothingID,Age,TitleLength,ReviewTextLength,Rating,RecommendedIND,DepartmentName,ClassName
0.0,767.0,33.0,0.0,53.0,4.0,Y,Intimate,Intimates
1.0,1080.0,34.0,0.0,303.0,5.0,Y,Dresses,Dresses
2.0,1077.0,60.0,23.0,500.0,3.0,N,Dresses,Dresses
3.0,1049.0,50.0,16.0,124.0,5.0,Y,Bottoms,Pants
4.0,847.0,47.0,16.0,192.0,5.0,Y,Tops,Blouses
5.0,1080.0,49.0,23.0,488.0,2.0,N,Dresses,Dresses
6.0,858.0,39.0,20.0,496.0,5.0,Y,Tops,Knits
7.0,858.0,39.0,36.0,482.0,4.0,Y,Tops,Knits
8.0,1077.0,24.0,10.0,166.0,5.0,Y,Dresses,Dresses
9.0,1077.0,34.0,17.0,360.0,5.0,Y,Dresses,Dresses
10.0,1077.0,53.0,44.0,336.0,3.0,N,Dresses,Dresses
11.0,1095.0,39.0,0.0,51.0,5.0,Y,Dresses,Dresses
12.0,1095.0,53.0,10.0,502.0,5.0,Y,Dresses,Dresses
13.0,767.0,44.0,8.0,124.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,5.0,null,1.0,8.0,null,null,null,null
14.0,1077.0,50.0,35.0,500.0,3.0,Y,Dresses,Dresses
15.0,1065.0,47.0,25.0,470.0,4.0,Y,Bottoms,Pants
16.0,1065.0,34.0,49.0,359.0,3.0,Y,Bottoms,Pants
17.0,853.0,41.0,28.0,296.0,5.0,Y,Tops,Blouses
18.0,1120.0,32.0,19.0,167.0,5.0,Y,Jackets,Outerwear
19.0,1077.0,47.0,23.0,292.0,5.0,Y,Dresses,Dresses
20.0,847.0,33.0,17.0,133.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,4.0,null,1.0,4.0,null,null,null,null
21.0,1080.0,55.0,9.0,500.0,4.0,Y,Dresses,Dresses
22.0,1077.0,31.0,22.0,433.0,2.0,N,Dresses,Dresses
23.0,1077.0,34.0,27.0,202.0,3.0,Y,Dresses,Dresses
24.0,847.0,55.0,9.0,443.0,5.0,Y,Tops,Blouses
25.0,697.0,31.0,10.0,340.0,3.0,N,Intimate,Lounge
26.0,949.0,33.0,19.0,500.0,2.0,N,Tops,Sweaters
27.0,1003.0,31.0,19.0,245.0,4.0,Y,Bottoms,Skirts
28.0,684.0,53.0,14.0,192.0,5.0,Y,Intimate,Lounge
29.0,4.0,28.0,20.0,445.0,5.0,Y,Tops,Sweaters
30.0,1060.0,33.0,0.0,94.0,5.0,Y,Bottoms,Pants
31.0,1060.0,46.0,16.0,344.0,5.0,Y,Bottoms,Pants
32.0,1060.0,21.0,16.0,93.0,5.0,Y,Bottoms,Pants
33.0,949.0,36.0,4.0,443.0,2.0,N,Tops,Sweaters
34.0,697.0,39.0,16.0,266.0,5.0,Y,Intimate,Lounge
35.0,1060.0,65.0,7.0,89.0,4.0,Y,Bottoms,Pants
36.0,1002.0,29.0,0.0,152.0,4.0,Y,Bottoms,Skirts
37.0,949.0,38.0,32.0,392.0,5.0,Y,Tops,Sweaters
38.0,684.0,36.0,0.0,89.0,5.0,Y,Intimate,Lounge
39.0,862.0,59.0,0.0,137.0,5.0,Y,Tops,Knits
40.0,862.0,47.0,0.0,149.0,4.0,Y,Tops,Knits
41.0,862.0,40.0,0.0,237.0,5.0,Y,Tops,Knits
42.0,910.0,23.0,13.0,239.0,5.0,Y,Tops,Fine gauge
43.0,89.0,67.0,30.0,499.0,4.0,Y,Intimate,Sleep
44.0,862.0,48.0,10.0,391.0,5.0,Y,Tops,Knits
45.0,862.0,43.0,24.0,215.0,4.0,Y,Tops,Knits
46.0,862.0,40.0,0.0,181.0,5.0,Y,Tops,Knits
47.0,823.0,52.0,0.0,65.0,5.0,Y,Tops,Blouses
48.0,910.0,56.0,15.0,91.0,5.0,Y,Tops,Fine gauge
49.0,862.0,33.0,20.0,268.0,5.0,Y,Tops,Knits
50.0,862.0,46.0,13.0,351.0,4.0,Y,Tops,Knits
51.0,862.0,41.0,4.0,188.0,5.0,Y,Tops,Knits
52.0,1104.0,39.0,0.0,51.0,3.0,Y,Dresses,Dresses
53.0,862.0,39.0,26.0,500.0,5.0,Y,Tops,Knits
54.0,862.0,66.0,8.0,448.0,4.0,Y,Tops,Knits
55.0,862.0,61.0,24.0,202.0,5.0,Y,Tops,Knits
56.0,368.0,33.0,0.0,428.0,2.0,N,Intimate,Intimates
57.0,862.0,31.0,24.0,132.0,3.0,N,Tops,Knits
58.0,1095.0,36.0,0.0,500.0,4.0,Y,Dresses,Dresses
59.0,368.0,52.0,20.0,282.0,4.0,Y,Intimate,Intimates
60.0,1095.0,41.0,15.0,288.0,5.0,Y,Dresses,Dresses
61.0,368.0,36.0,10.0,484.0,1.0,N,Intimate,Intimates
62.0,862.0,28.0,9.0,201.0,5.0,Y,Tops,Knits
63.0,862.0,57.0,24.0,146.0,5.0,Y,Tops,Knits
64.0,862.0,43.0,13.0,55.0,5.0,Y,Tops,Knits
65.0,862.0,58.0,0.0,252.0,4.0,Y,Tops,Knits
66.0,862.0,60.0,25.0,502.0,4.0,Y,Tops,Knits
67.0,862.0,40.0,13.0,484.0,5.0,Y,Tops,Knits
68.0,862.0,37.0,28.0,348.0,2.0,N,Tops,Knits
69.0,1078.0,56.0,20.0,269.0,3.0,N,Dresses,Dresses
70.0,845.0,38.0,23.0,469.0,4.0,Y,Tops,Blouses
71.0,822.0,36.0,14.0,500.0,2.0,N,Tops,Blouses
72.0,850.0,27.0,16.0,235.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,5.0,null,1.0,4.0,null,null,null,null
73.0,866.0,47.0,0.0,243.0,4.0,Y,Tops,Knits
74.0,1081.0,59.0,0.0,500.0,5.0,Y,Dresses,Dresses
75.0,845.0,48.0,34.0,499.0,5.0,Y,Tops,Blouses
76.0,1082.0,31.0,27.0,282.0,4.0,Y,Dresses,Dresses
77.0,850.0,28.0,12.0,217.0,2.0,N,Tops,Blouses
78.0,836.0,47.0,8.0,254.0,5.0,Y,Tops,Blouses
79.0,1081.0,62.0,25.0,462.0,4.0,Y,Dresses,Dresses
80.0,1072.0,68.0,21.0,496.0,5.0,Y,Dresses,Dresses
81.0,863.0,61.0,0.0,67.0,5.0,Y,Tops,Knits
82.0,1133.0,33.0,11.0,502.0,5.0,Y,Jackets,Outerwear
83.0,822.0,68.0,11.0,500.0,5.0,Y,Tops,Blouses
84.0,861.0,37.0,19.0,500.0,3.0,Y,Tops,Knits
85.0,866.0,58.0,0.0,499.0,1.0,N,Tops,Knits
86.0,850.0,39.0,12.0,174.0,null,null,null,null
null,4.0,null,1.0,4.0,null,null,null,null
87.0,1081.0,39.0,21.0,500.0,4.0,Y,Dresses,Dresses
88.0,845.0,38.0,4.0,128.0,2.0,N,Tops,Blouses
89.0,836.0,24.0,25.0,390.0,4.0,Y,Tops,Blouses
90.0,1078.0,51.0,22.0,391.0,4.0,Y,Dresses,Dresses
91.0,850.0,29.0,0.0,401.0,5.0,Y,Tops,Blouses
92.0,861.0,23.0,0.0,0.0,5.0,Y,Tops,Knits
93.0,1081.0,31.0,0.0,0.0,5.0,Y,Dresses,Dresses
94.0,850.0,23.0,35.0,499.0,4.0,Y,Tops,Blouses
95.0,863.0,83.0,16.0,68.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,null,null,null,null,null,null,null,null
null,5.0,null,2.0,4.0,null,null,null,null
96.0,845.0,44.0,0.0,238.0,1.0,N,Tops,Blouses
97.0,861.0,44.0,4.0,157.0,1.0,N,Tops,Knits
98.0,1133.0,50.0,0.0,0.0,5.0,Y,Jackets,Outerwear
99.0,861.0,33.0,15.0,480.0,3.0,N,Tops,Knits
100.0,861.0,39.0,5.0,239.0,4.0,Y,Tops,Knits
101.0,863.0,40.0,38.0,428.0,4.0,Y,Tops,Knits
102.0,822.0,69.0,17.0,250.0,5.0,Y,Tops,Blouses
103.0,822.0,23.0,9.0,150.0,2.0,N,Tops,Blouses
104.0,863.0,51.0,0.0,76.0,2.0,N,Tops,Knits
105.0,836.0,66.0,19.0,317.0,5.0,Y,Tops,Blouses
106.0,836.0,47.0,31.0,272.0,4.0,Y,Tops,Blouses
107.0,836.0,66.0,9.0,344.0,4.0,Y,Tops,Blouses
108.0,836.0,23.0,19.0,316.0,5.0,Y,Tops,Blouses
109.0,1081.0,47.0,0.0,45.0,5.0,Y,Dresses,Dresses
110.0,861.0,44.0,12.0,180.0,1.0,N,Tops,Knits
111.0,1081.0,44.0,19.0,500.0,3.0,Y,Dresses,Dresses
112.0,836.0,50.0,30.0,424.0,5.0,Y,Tops,Blouses
113.0,1081.0,61.0,14.0,186.0,5.0,Y,Dresses,Dresses
114.0,1082.0,32.0,21.0,493.0,2.0,N,Dresses,Dresses
115.0,863.0,52.0,8.0,66.0,4.0,Y,Tops,Knits
116.0,1072.0,51.0,17.0,181.0,4.0,Y,Dresses,Dresses
117.0,1078.0,32.0,0.0,294.0,5.0,Y,Dresses,Dresses
118.0,850.0,37.0,15.0,420.0,2.0,N,Tops,Blouses
119.0,836.0,54.0,30.0,222.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,5.0,null,1.0,4.0,null,null,null,null
120.0,861.0,33.0,21.0,136.0,5.0,Y,Tops,Knits
121.0,966.0,63.0,0.0,274.0,5.0,Y,Jackets,Jackets
122.0,1196.0,29.0,0.0,293.0,5.0,Y,Dresses,Dresses
123.0,836.0,24.0,36.0,189.0,5.0,Y,Tops,Blouses
124.0,923.0,50.0,28.0,203.0,3.0,N,Tops,Sweaters
125.0,1072.0,34.0,48.0,498.0,3.0,Y,Dresses,Dresses
126.0,1133.0,71.0,0.0,502.0,4.0,Y,Jackets,Outerwear
127.0,1133.0,30.0,0.0,442.0,5.0,Y,Jackets,Outerwear
128.0,966.0,52.0,16.0,168.0,4.0,Y,Jackets,Jackets
129.0,863.0,28.0,9.0,165.0,5.0,Y,Tops,Knits
130.0,845.0,62.0,0.0,500.0,4.0,Y,Tops,Blouses
131.0,1081.0,39.0,7.0,500.0,3.0,Y,Dresses,Dresses
132.0,861.0,46.0,15.0,373.0,4.0,Y,Tops,Knits
133.0,966.0,36.0,22.0,257.0,5.0,Y,Jackets,Jackets
134.0,845.0,65.0,36.0,499.0,5.0,Y,Tops,Blouses
135.0,861.0,35.0,0.0,0.0,4.0,Y,Tops,Knits
136.0,966.0,31.0,28.0,434.0,4.0,Y,Jackets,Jackets
137.0,836.0,52.0,10.0,357.0,4.0,Y,Tops,Blouses
138.0,126.0,34.0,45.0,500.0,4.0,Y,Intimate,Lounge
139.0,1008.0,31.0,29.0,408.0,5.0,Y,Bottoms,Skirts
140.0,829.0,36.0,10.0,243.0,5.0,Y,Tops,Blouses
141.0,828.0,39.0,0.0,267.0,4.0,Y,Tops,Blouses
142.0,1126.0,35.0,0.0,0.0,5.0,Y,Jackets,Outerwear
143.0,1008.0,51.0,13.0,181.0,5.0,Y,Bottoms,Skirts
144.0,829.0,39.0,23.0,208.0,3.0,N,Tops,Blouses
145.0,828.0,39.0,12.0,424.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,3.0,null,1.0,4.0,null,null,null,null
146.0,1008.0,39.0,49.0,403.0,5.0,Y,Bottoms,Skirts
147.0,1011.0,47.0,11.0,252.0,5.0,Y,Bottoms,Skirts
148.0,1008.0,64.0,11.0,410.0,5.0,Y,Bottoms,Skirts
149.0,1008.0,38.0,18.0,428.0,5.0,Y,Bottoms,Skirts
150.0,1008.0,36.0,15.0,168.0,5.0,Y,Bottoms,Skirts
151.0,1008.0,39.0,9.0,108.0,4.0,Y,Bottoms,Skirts
152.0,829.0,53.0,16.0,300.0,3.0,N,Tops,Blouses
153.0,829.0,36.0,4.0,229.0,3.0,Y,Tops,Blouses
154.0,829.0,44.0,20.0,500.0,3.0,Y,Tops,Blouses
155.0,829.0,48.0,16.0,203.0,5.0,Y,Tops,Blouses
156.0,1008.0,37.0,0.0,259.0,5.0,Y,Bottoms,Skirts
157.0,523.0,43.0,19.0,400.0,3.0,N,Intimate,Swim
158.0,829.0,53.0,0.0,243.0,4.0,Y,Tops,Blouses
159.0,829.0,33.0,16.0,454.0,4.0,Y,Tops,Blouses
160.0,1126.0,39.0,15.0,441.0,4.0,Y,Jackets,Outerwear
161.0,829.0,52.0,27.0,498.0,1.0,N,Tops,Blouses
162.0,829.0,64.0,38.0,499.0,4.0,Y,Tops,Blouses
163.0,1008.0,52.0,15.0,211.0,5.0,Y,Bottoms,Skirts
164.0,1126.0,42.0,10.0,499.0,4.0,Y,Jackets,Outerwear
165.0,829.0,35.0,0.0,0.0,3.0,N,Tops,Blouses
166.0,1020.0,56.0,16.0,237.0,5.0,Y,Bottoms,Skirts
167.0,895.0,55.0,14.0,149.0,5.0,Y,Tops,Fine gauge
168.0,862.0,40.0,0.0,0.0,5.0,Y,Tops,Knits
169.0,1104.0,47.0,30.0,500.0,5.0,Y,Dresses,Dresses
170.0,670.0,36.0,3.0,119.0,5.0,Y,Intimate,Sleep
171.0,329.0,46.0,19.0,193.0,5.0,Y,Intimate,Sleep
172.0,670.0,66.0,26.0,179.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,4.0,null,1.0,8.0,null,null,null,null
173.0,868.0,51.0,16.0,392.0,4.0,Y,Tops,Knits
174.0,1020.0,34.0,24.0,325.0,5.0,Y,Bottoms,Skirts
175.0,862.0,30.0,19.0,283.0,4.0,Y,Tops,Knits
176.0,895.0,43.0,22.0,334.0,5.0,Y,Tops,Fine gauge
177.0,895.0,52.0,0.0,226.0,5.0,Y,Tops,Fine gauge
178.0,1094.0,35.0,10.0,487.0,2.0,N,Dresses,Dresses
179.0,895.0,41.0,27.0,500.0,5.0,Y,Tops,Fine gauge
180.0,895.0,39.0,11.0,180.0,5.0,Y,Tops,Fine gauge
181.0,1020.0,39.0,3.0,85.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,4.0,null,1.0,7.0,null,null,null,null
182.0,895.0,50.0,26.0,465.0,5.0,Y,Tops,Fine gauge
183.0,1020.0,27.0,8.0,246.0,4.0,Y,Bottoms,Skirts
184.0,895.0,33.0,16.0,356.0,2.0,N,Tops,Fine gauge
185.0,895.0,35.0,29.0,502.0,2.0,N,Tops,Fine gauge
186.0,1020.0,34.0,33.0,161.0,4.0,Y,Bottoms,Skirts
187.0,596.0,41.0,14.0,109.0,5.0,Y,Trend,Trend
188.0,1094.0,54.0,21.0,447.0,4.0,Y,Dresses,Dresses
189.0,1020.0,41.0,15.0,207.0,4.0,Y,Bottoms,Skirts
190.0,895.0,47.0,6.0,216.0,4.0,Y,Tops,Fine gauge
191.0,895.0,52.0,17.0,273.0,2.0,N,Tops,Fine gauge
192.0,895.0,46.0,0.0,0.0,5.0,Y,Tops,Fine gauge
193.0,1020.0,22.0,0.0,112.0,5.0,Y,Bottoms,Skirts
194.0,1098.0,40.0,0.0,137.0,3.0,Y,Dresses,Dresses
195.0,895.0,62.0,19.0,468.0,5.0,Y,Tops,Fine gauge
196.0,862.0,26.0,13.0,446.0,null,null,null,null
null,null,null,null,null,null,null,null,null
null,5.0,null,1.0,4.0,null,null,null,null
197.0,1020.0,38.0,32.0,321.0,5.0,Y,Bottoms,Skirts
198.0,895.0,53.0,22.0,66.0,5.0,Y,Tops,Fine gauge
199.0,1020.0,49.0,12.0,213.0,3.0,N,Bottoms,Skirts
200.0,895.0,43.0,7.0,264.0,3.0,N,Tops,Fine gauge
201.0,895.0,36.0,0.0,0.0,5.0,Y,Tops,Fine gauge
202.0,895.0,36.0,14.0,274.0,3.0,N,Tops,Fine gauge
