id,order_status,order_price,order_freight,order_qty,order_timestamp,order_approved_time,order_estimated_delivery_date,order_delivered_customer_date,order_product_id,review_creation_date,review_score
1,"delivered",89.99,14.38,1,"2017-08-30 11:41:01","2017-08-30 11:55:08","2017-09-21 00:00:00","2017-09-08 20:35:27",2377,"2017-09-09 00:00:00",5
2,"delivered",69,15.23,1,"2017-09-26 09:13:36","2017-09-26 09:28:10","2017-10-24 00:00:00","2017-09-29 21:13:04",1739,"2017-09-30 00:00:00",5
3,"delivered",99.8,15.86,2,"2018-01-15 15:50:42","2018-01-17 07:29:56","2018-02-05 00:00:00","2018-01-23 17:51:31",729,"2018-01-24 00:00:00",1
4,"delivered",87,12.74,1,"2018-02-04 11:16:42","2018-02-06 05:31:50","2018-03-13 00:00:00","2018-02-20 19:38:06",781,"2018-02-21 00:00:00",4
5,"delivered",99.9,17.95,1,"2017-12-07 11:58:42","2017-12-08 02:36:49","2018-01-03 00:00:00","2017-12-19 22:33:18",1021,"2017-12-20 00:00:00",3
6,"delivered",39.99,0.15,1,"2017-11-02 11:33:03","2017-11-04 08:05:48","2017-11-23 00:00:00","2017-11-09 19:09:10",1691,"2017-11-10 00:00:00",5
7,"delivered",229.9,30.01,1,"2017-11-26 23:58:24","2017-11-27 00:18:31","2017-12-28 00:00:00","2017-12-19 14:13:52",1374,"2000-01-01 00:00:00",2
8,"delivered",164.9,8.41,1,"2017-12-08 21:13:04","2017-12-08 21:32:36","2017-12-27 00:00:00","2017-12-26 16:09:57",526,"2000-01-01 00:00:00",5
9,"delivered",89.9,40.62,1,"2017-07-04 16:12:36","2017-07-04 16:24:00","2017-07-24 00:00:00","2017-07-10 16:35:53",1576,"2017-07-11 00:00:00",3
10,"delivered",99.9,19.94,1,"2017-11-29 04:25:45","2017-12-01 11:32:01","2017-12-29 00:00:00","2017-12-18 15:22:57",1021,"2017-12-19 00:00:00",4
11,"delivered",99.99,14.43,1,"2018-02-13 17:15:23","2018-02-14 17:10:31","2018-03-23 00:00:00","2018-02-26 18:57:21",1145,"2018-02-27 00:00:00",5
12,"delivered",65.9,17.2,1,"2017-04-19 13:45:55","2017-04-21 05:22:15","2017-05-25 00:00:00","2017-05-09 09:03:57",1760,"2017-05-10 00:00:00",5
